,Start station,start_lat,start_lng
111,5th & K St NW,39.2275114,-77.2837031
112,18th & R St NW,38.895245,-77.041591
113,8th & O St NW,38.866991,-77.08081299999999
114,Mount Vernon Ave & Kennedy St,38.8268631,-77.0587774
115,Lamont & Mt Pleasant NW,38.9312791,-77.0445762
116,Park Rd & Holmead Pl NW,38.9319966,-77.0373439
117,Eads St & 22nd St S,38.8544392,-77.05332419999999
118,2nd & G St NE,38.8884186,-77.41932369999999
119,3000 Connecticut Ave NW / National Zoo,38.9296156,-77.0497844
120,5th St & Massachusetts Ave NW,38.954294,-77.0198
121,Georgia Ave & Emerson St NW,39.1065957,-77.07619509999999
122,23rd & E St NW ,38.9062628,-77.0496833
123,8th & East Capitol St NE,38.866991,-77.08081299999999
124,Calvert St & Woodley Pl NW,38.9225476,-77.07563329999999
125,18th & C St NW,38.895245,-77.041591
126,2nd St & Massachusetts Ave NE,38.870102,-77.091272
127,Offutt Ln & Chevy Chase Dr,39.1127715,-77.44062
128,3rd & Elm St NW,38.9928128,-77.42298950000001
129,Jefferson Dr & 14th St SW,39.037689,-77.3885658
130,River Rd & Landy Ln,39.0636577,-77.29877739999999
131,4th & C St SW,38.887837,-77.01767600000001
132,Wisconsin Ave & O St NW,38.9322202,-77.0725966
133,8th & D St NW,38.866991,-77.08081299999999
134,Georgia Ave and Fairmont St NW,38.924806,-77.02261200000001
135,22nd & H St NW,38.9219004,-77.22981050000001
136,10th & K St NW,38.9049938,-77.0257597
137,Jefferson Memorial,38.88138060000001,-77.0364536
138,US Dept of State / Virginia Ave & 21st St NW,38.8944649,-77.071047
139,Henry St & Pendleton St,38.8124458,-77.04990459999999
140,Montello Ave & Holbrook Terr NE,38.9064698,-76.98759059999999
141,3rd St & Riggs Rd NE,38.90525299999999,-77.0152438
142,10th St & Constitution Ave NW,38.9028644,-77.0255899
143,Rhode Island Ave & V St NE,38.9246186,-76.9856265
144,New Jersey Ave & N St NW/Dunbar HS,38.9032226,-77.0139923
145,California St & Florida Ave NW,38.916481,-77.04768
146,Potomac Ave & 8th St SE,38.8808477,-76.9851992
147,10th & E St NW,38.9049938,-77.0257597
148,18th St & Wyoming Ave NW,38.9031774,-77.04137709999999
149,15th & W St NW,48.8421616,2.2927665
150,Maryland Ave & E St NE,39.1461258,-77.20074190000001
151,Fessenden St & Wisconsin Ave NW,39.0289069,-77.4038947
152,20th & O St NW / Dupont South,38.9110063,-77.04475149999999
153,21st St & N Pierce St,38.905281,-77.046684
154,7th & E St SW,38.9149324,-77.02160359999999
155,4th & D St NW / Judiciary Square,38.887837,-77.01767600000001
156,3rd & D St SE,38.9928128,-77.42298950000001
157,14th & Irving St NW,38.9175547,-77.0324732
158,12th & U St NW,28.195549,-82.6483442
159,Court House Metro / 15th St & N Uhle St,38.89022000000001,-77.08436379999999
160,Carroll & Westmoreland Ave,39.0370409,-77.5046701
161,39th & Calvert St NW / Stoddert,38.9245987,-77.0779111
162,12th & Irving St NE,28.195549,-82.6483442
163,Battery Ln & Trolley Trail,38.9923589,-77.1006773
164,Potomac Ave & Swann Ave,38.8808477,-76.9851992
165,Wisconsin Ave & Newark St NW,38.9322202,-77.0725966
166,1st & M St SE,38.96419530000001,-77.5024194
167,6th & K St NE,48.8483372,2.328177
168,11th & H St NE,38.80822790000001,-77.2635038
169,16th & Irving St NW,39.136625,-77.70955099999999
170,3rd St & Pennsylvania Ave SE,38.90525299999999,-77.0152438
171,Madison St & Fairfax St,38.9958629,-77.6022387
172,Connecticut Ave & Yuma St NW,38.9340854,-77.0576414
173,3rd & H St NE,38.9928128,-77.42298950000001
174,Barton St & 10th St N,38.8651177,-77.0847022
175,39th & Veazey St NW,38.9245987,-77.0779111
176,22nd & I St NW / Foggy Bottom,38.9219004,-77.22981050000001
177,Joyce St & 16th St S,38.8352859,-77.2602072
178,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.8887861,-77.0260229
179,Potomac Greens Dr & Slaters Ln,38.8260048,-77.0460473
180,21st St & Constitution Ave NW,38.905281,-77.046684
181,Iwo Jima Memorial / Meade & 14th St N,38.8904365,-77.0697213
182,20th & L St NW,38.9110063,-77.04475149999999
183,3rd & G St SE,38.9928128,-77.42298950000001
184,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.9863592,-77.50063899999999
185,Maine Ave & 9th St SW,38.882072,-77.0287433
186,22nd & P ST NW,38.9219004,-77.22981050000001
187,S Arlington Mill Dr & Campbell Ave,38.845772,-77.0966689
188,14th St & New York Ave NW,38.938678,-77.0327217
189,Lincoln Memorial,38.8892686,-77.050176
190,17th St & Massachusetts Ave NW,38.9198379,-77.038676
191,34th St & Wisconsin Ave NW,38.9112554,-77.1334651
192,Potomac Ave & Half St SW,38.8808477,-76.9851992
193,Connecticut Ave & Newark St NW / Cleveland Park,38.9340854,-77.0576414
194,4th & M St SE,38.887837,-77.01767600000001
195,Good Hope Rd & 14th St SE,38.8655416,-76.978449
196,17th & G St NW,38.9040782,-77.0379947
197,Lynn St & 19th St North,38.970646,-77.38582199999999
198,21st & I St NW,39.1376224,-77.7156198
199,4th & E St SW,38.887837,-77.01767600000001
200,8th & Eye St SE / Barracks Row,38.942113,-77.329538
201,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.8575326,-77.0591731
202,1st & D St SE,38.96419530000001,-77.5024194
203,Clarendon Metro / Wilson Blvd & N Highland St,38.8871134,-77.0952291
204,Pennsylvania & Minnesota Ave SE,41.2033216,-77.1945247
205,Windham Ln & Amherst Ave,39.0323121,-77.0403473
206,25th St & Pennsylvania Ave NW,38.905311,-77.05361599999999
207,17th & K St NW / Farragut Square,38.9040782,-77.0379947
208,Massachusetts Ave & 6th St NE,38.9187514,-77.059675
209,Ballston Metro / Stuart St & 9th St N,38.8819625,-77.11142439999999
210,18th & New Hampshire Ave NW,38.895245,-77.041591
211,Pershing Dr & Wayne St,39.1210027,-77.5780118
212,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,39.99601699999999,-83.0176819
213,5th & F St NW,39.2275114,-77.2837031
214,Shady Grove Metro East,39.12068350000001,-77.1634297
215,Madison St & N Henry St,38.9958629,-77.6022387
216,17th St & Independence Ave SW,38.9198379,-77.038676
217,10th & Monroe St NE,38.9049938,-77.0257597
218,Fort Totten Metro,38.9518031,-77.0021599
219,17th & K St NW,38.9040782,-77.0379947
220,Powhatan St & Bashford Ln,39.12040289999999,-77.5255889
221,Gravelly Point,38.8648345,-77.0380323
222,Rosedale Rec Center,38.897927,-76.9794829
223,Lee Center,38.7969521,-77.0537306
224,Calvert & Biltmore St NW,38.9151844,-77.04562419999999
225,M St & New Jersey Ave SE,38.9056494,-77.03922829999999
226,4th & W St NE,38.887837,-77.01767600000001
227,Fenton St & Gist Ave,38.9912697,-77.0240168
228,Saint Asaph St & Pendleton  St,38.7999426,-77.0468976
229,23rd & M St NW,38.9062628,-77.0496833
230,Columbus Ave & Tribeca St,39.023026,-77.503053
231,14th & Upshur St NW,38.9175547,-77.0324732
232,Key West Ave & Diamondback Dr,39.104527,-77.2028484
233,Washington Blvd & 10th St N,39.056873,-77.44396139999999
234,Henry Bacon Dr & Lincoln Memorial Circle NW,38.890984,-77.0488166
235,10th & Florida Ave NW,38.9049938,-77.0257597
236,Georgia Ave & Kennedy St NW,39.1065957,-77.07619509999999
237,Fairfax Dr & N Randolph St,39.10841449999999,-77.5665027
238,Columbia Rd & Georgia Ave NW,38.9275223,-77.0325172
239,Braddock Rd Metro,38.8140201,-77.0537762
240,Hamlin & 7th St NE,38.9043583,-77.4113879
241,1st & H St NW,38.96419530000001,-77.5024194
242,Kennebec St & 11th St N,38.917438,-77.507761
243,N Lynn St & Fairfax Dr,38.8965717,-77.07082489999999
244,Westpark & Jones Branch Dr,38.8883466,-77.43614140000001
245,Oklahoma Ave & D St NE,38.8955078,-76.9720938
246,King St Metro North / Cameron St,38.8071973,-77.06011769999999
247,Westover Library / Washington Blvd & N McKinley Rd,38.8861111,-77.1420867
248,Connecticut Ave & R St NW,38.9340854,-77.0576414
249,Mount Vernon Ave & E Nelson Ave,38.8268631,-77.0587774
250,4th St & Madison Dr NW,38.86929200000001,-77.1329962
251,Tysons Corner Station,38.9206324,-77.22223939999999
252,18th St & Rhode Island Ave NE,38.9031774,-77.04137709999999
253,Maryland Ave & 17th St NE,39.1461258,-77.20074190000001
254,Constitution Ave & 2nd St NW/DOL,38.892014,-76.99153299999999
255,19th & L St NW,38.90244,-77.04368
256,Crystal Dr & 23rd St S,39.1899881,-77.26694359999999
257,7th & T St NW,38.9149324,-77.02160359999999
258,Monroe Ave & Leslie Ave,39.0102316,-77.6144376
259,Eisenhower Ave & Mill Race Ln,38.8003255,-77.0710974
260,N Veitch St & 20th St N,38.8921435,-77.0859684
261,King Greenleaf Rec Center,38.875,-77.01277780000001
262,Woodmont Ave & Strathmore St,38.9876177,-77.0959771
263,13th & H St NE,38.7717402,-77.58814339999999
264,Pleasant St & MLK Ave SE,38.9309253,-77.03822079999999
265,14th & D St NW / Ronald Reagan Building,38.9175547,-77.0324732
266,19th & East Capitol St SE,38.90244,-77.04368
267,Trinidad Rec Center,38.9065757,-76.982804
268,Mount Vernon Ave & E Del Ray Ave,38.8268631,-77.0587774
269,Rhode Island Ave Metro,38.9208448,-76.9959694
270,Pentagon City Metro / 12th St & S Hayes St,38.8627084,-77.0598849
271,Four Mile Run Dr & S Shirlington Rd,38.8476366,-77.0958198
272,Pershing Dr & N George Mason Dr,39.1210027,-77.5780118
273,14th & Newton St NW,38.9175547,-77.0324732
274,13th & E St SE,38.7717402,-77.58814339999999
275,Gallaudet / 8th St & Florida Ave NE,38.908422,-76.99238749999999
276,15th St & N Scott St,38.89033,-77.03332999999999
277,Neal St & Trinidad Ave NE,38.903371,-76.9861378
278,Takoma Metro,38.9755307,-77.0178542
279,Garland Ave & Walden Rd,38.992208,-76.9999361
280,Washington Blvd & 7th St N,39.056873,-77.44396139999999
281,Yuma St & Tenley Circle NW,38.946283,-77.083449
282,Shady Grove Metro West,39.1192376,-77.16488640000001
283,Anacostia Metro,38.86218119999999,-76.995218
284,Lee Hwy & N Monroe St,38.7274416,-77.7851531
285,Kennedy Center,38.8958482,-77.05568269999999
286,28th St & S Meade St,39.13775090000001,-77.7208885
287,19th & E Street NW,38.90244,-77.04368
288,Washington Blvd & Walter Reed Dr ,39.056873,-77.44396139999999
289,Philadelphia & Maple Ave,39.9525839,-75.1652215
290,Mount Vernon Ave & Four Mile Run Park,38.8268631,-77.0587774
291,1st & Washington Hospital Center NW,38.96419530000001,-77.5024194
292,18th & M St NW,38.895245,-77.041591
293,Franklin St & S Washington St,38.9716796,-77.5326481
294,Columbia Pike & S Courthouse Rd,38.8506943,-77.128598
295,Fenton St & New York Ave ,38.9912697,-77.0240168
296,Crystal Dr & 20th St S,39.1899881,-77.26694359999999
297,Georgetown Harbor / 30th St NW,38.901877,-77.0601097
298,37th & O St NW / Georgetown University,38.8863998,-76.95287909999999
299,Bladensburg Rd & Benning Rd NE,38.9165875,-76.9729916
300,New Jersey Ave & L St NW,38.9032226,-77.0139923
301,19th & K St NW,38.90244,-77.04368
302,Wiehle Ave & Reston Station Blvd,38.9691079,-77.3334817
303,George Mason Dr & Wilson Blvd,38.8895207,-77.1287694
304,Rockville Pike & Old Georgetown Rd,39.0859755,-77.14896929999999
305,Radford St & Osage St,38.908974,-77.1045669
306,15th & L St NW,48.8421616,2.2927665
307,Columbia Pike & S Orme St,38.8506943,-77.128598
308,Commerce St & Fayette St,38.99954049999999,-77.4032184
309,Potomac & M St NW,39.0181651,-77.2085914
310,20th & E St NW,38.9110063,-77.04475149999999
311,Crystal City Metro / 18th St & S Bell St,38.857503,-77.051819
312,Clarendon Blvd & Pierce St,38.8919597,-77.0822112
313,New York Ave & Hecht Ave NE,39.3303189,-77.6138435
314,Anacostia Ave & Benning Rd NE / River Terrace ,38.9099415,-76.94194200000001
315,24th & R St NE / National Arboretum,38.9001515,-77.1257885
316,Rolfe St & 9th St S,38.8632436,-77.07477949999999
317,Rhodes St & 16th St N,38.8929328,-77.08001349999999
318,Amherst Ave & Elkins St,38.7832951,-77.1867365
319,New York Ave & 15th St NW,39.3303189,-77.6138435
320,Georgia & Missouri Ave NW,32.1656221,-82.9000751
321,East West Hwy & 16th St,38.9923868,-77.059979
322,13th St & Eastern Ave,38.858437,-77.0928964
323,Sunset Hills Rd & Isaac Newton Square,38.9518328,-77.34230649999999
324,Clarendon Blvd & N Fillmore St,38.8919597,-77.0822112
325,Good Hope Rd & MLK Ave SE,38.8655416,-76.978449
326,Needwood Rd & Eagles Head Ct,39.1252319,-77.1342229
327,Arlington Blvd & N Queen St,38.8714653,-77.165386
328,Connecticut Ave & McKinley St NW,38.9340854,-77.0576414
329,Army Navy Dr & S Joyce St,38.8589072,-77.0695841
330,Rockville Pike & Meeting St,39.0859755,-77.14896929999999
331,Wilson Blvd & N Franklin Rd,38.8801082,-77.11156319999999
332,15th St & Constitution Ave NW,38.89033,-77.03332999999999
333,Washington & Independence Ave SW/HHS,47.7510741,-120.7401385
334,1st & N St  SE,38.96419530000001,-77.5024194
335,Fairfax Village,38.8638871,-76.950623
336,Fairfax Dr & Wilson Blvd,39.10841449999999,-77.5665027
337,Wilson Blvd & N Edgewood St,38.8801082,-77.11156319999999
338,Temporary Rd & Old Reston Ave,38.9601317,-77.35264049999999
339,6th St & Indiana Ave NW,38.9088966,-77.0199075
340,7th & K St NW,38.9149324,-77.02160359999999
341,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,38.9832751,-77.0936542
342,19th & G St NW,38.90244,-77.04368
343,Woodglen Dr & Executive Blvd,39.04237,-77.113321
344,18th St & Pennsylvania Ave NW,38.9031774,-77.04137709999999
345,Crystal Dr & Potomac Ave,39.1899881,-77.26694359999999
346,Bethesda Ave & Arlington Rd,38.9809175,-77.0966597
347,Market Square / King St & Royal St,39.115465,-77.564753
348,Fleet St & Ritchie Pkwy,39.0787957,-77.1444002
349,Virginia Ave & 25th St NW,38.962128,-77.3896989
350,Potomac Ave & Main Line Blvd,38.8808477,-76.9851992
351,Washington-Liberty High School / N Stafford St & Generals Way,38.887849,-77.1101395
352,20th St & Virginia Ave NW,39.12744319999999,-77.7124856
353,Twinbrook Metro,39.0624346,-77.1209301
354,Potomac Ave & 35th St S,38.8808477,-76.9851992
355,Montgomery & East Ln,39.1864413,-77.2470785
356,36th & Calvert St NW / Glover Park,38.829469,-77.08715649999999
357,Arlington Blvd & Fillmore St,38.8714653,-77.165386
358,Connecticut Ave & Tilden St NW,38.9340854,-77.0576414
359,Mount Vernon Ave & Bruce St,38.8268631,-77.0587774
360,Sligo Ave & Carroll Ln,38.9901525,-77.018945
361,Commonwealth Ave & E Monroe Ave,38.81354899999999,-77.061958
362,Duke St & John Carlyle St,38.8089153,-77.09079009999999
363,Wisconsin Ave & Brandywine St NW,38.9322202,-77.0725966
364,47th & Elm St,38.9820914,-77.0921948
365,10th & G St NW,38.9049938,-77.0257597
366,Anacostia Library,38.86598050000001,-76.9785383
367,19th St & Pennsylvania Ave NW,39.136692,-77.71284349999999
368,Long Bridge Park / Long Bridge Dr & 6th St S,38.8671948,-77.0464764
369,15th St & Pennsylvania Ave NW,38.89033,-77.03332999999999
370,Roosevelt Island,40.76050310000001,-73.9509934
371,19th St & Constitution Ave NW,39.136692,-77.71284349999999
372,Largo Town Center Metro,38.9005977,-76.84456229999999
373,Independence Ave & L'Enfant Plaza SW/DOE,38.8875683,-77.0295032
374,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.8562886,-77.1121946
375,Nannie Helen Burroughs Ave & 49th St NE,38.8985042,-76.9306562
376,Norfolk & Rugby Ave,36.8507689,-76.28587259999999
377,11th & F St NW,38.8714517,-76.99011720000001
378,King St Metro South,38.8071973,-77.06011769999999
379,21st St & Pennsylvania Ave NW,38.905281,-77.046684
380,31st & Water St NW,38.905284,-77.061624
381,S Glebe Rd & Potomac Ave,38.849696,-77.08224899999999
382,Wilson Blvd & N Uhle St,38.8801082,-77.11156319999999
383,Saint Asaph St & Madison St,38.7999426,-77.0468976
384,10th St & L'Enfant Plaza SW,38.9028644,-77.0255899
385,N Veitch St & Key Blvd,38.8921435,-77.0859684
386,Wilson Blvd & N Quincy St,38.8801082,-77.11156319999999
387,Lee Hwy & N Woodstock St,38.7274416,-77.7851531
388,Key West Ave & Great Seneca Hwy,39.104527,-77.2028484
389,Army Navy Dr & S Nash St,38.8589072,-77.0695841
390,Fenton St & Ellsworth Dr ,38.9912697,-77.0240168
391,Crystal Dr & 27th St S,39.1899881,-77.26694359999999
392,Town Center Pkwy & Sunset Hills Rd,38.9603059,-77.3630587
393,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.8694838,-77.09606579999999
394,34th & Water St NW,38.909869,-77.067869
395,16th & Q St SE / Anacostia HS,39.136625,-77.70955099999999
396,White Flint Metro,39.0485389,-77.1130762
397,American University East Campus,38.9352098,-77.08664440000001
398,Glebe Rd & 11th St N,38.8975376,-77.12349619999999
399,Minnesota Ave Metro/DOES,38.89912959999999,-76.9467801
400,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946768,-77.0698807
401,Rockville Metro East,39.0854931,-77.1458545
402,Clark St & 26th St S,38.855511,-77.05194709999999
403,Old Georgetown Rd & Southwick St,39.0144384,-77.1182153
404,Ward Circle / American University,38.9374178,-77.0869453
405,Reston YMCA,38.9560115,-77.36817
406,Broschart & Blackwell Rd,39.099972,-77.20114099999999
407,McLean Metro,38.9244025,-77.21036070000001
408,Benning Branch Library,38.894099,-76.94776499999999
409,Crabbs Branch Way & Calhoun Pl,39.1215423,-77.1593584
410,Arlington Blvd & S George Mason Dr,38.8714653,-77.165386
411,Silver Spring Metro / Colesville Rd & Wayne Ave,38.9938976,-77.03139019999999
412,Shirlington Transit Center / Quincy St & Randolph St,38.8394179,-77.0872697
413,Carlin Springs Rd & N Thomas St,38.8729294,-77.119969
414,22nd St & Constitution Ave NW,38.8489088,-77.0882519
415,Sunset Hills Rd & Discovery Square,38.9518328,-77.34230649999999
416,Veterans Pl & Pershing Dr ,38.9978059,-77.0244968
417,Cordell & Norfolk Ave,38.8615057,-77.2182481
418,Corporate Blvd & Omega Dr,39.1078373,-77.1904196
419,18th St & S Eads St,38.9031774,-77.04137709999999
420,Utah St & 11th St N ,38.885565,-77.11395999999999
421,Wisconsin Ave & Ingomar St NW,38.9322202,-77.0725966
422,Central Library / Quincy St & 10th St N,38.8838758,-77.1074359
423,Greensboro & International Dr,36.0726354,-79.7919754
424,Columbus Ave & Gramercy Blvd,39.023026,-77.503053
425,East Falls Church Metro / Sycamore St & 19th St N,38.8890863,-77.1562529
426,Medical Center Metro ,38.9990468,-77.097815
427,31st St & S Woodrow St,39.1379333,-77.7229876
428,GMU / Fairfax Dr & Kenmore St,38.8850617,-77.0999539
429,Grandview & Blueridge Ave,38.8522434,-77.1224759
430,Executive Blvd & E Jefferson St,39.04717249999999,-77.1175391
431,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.9609146,-77.0860964
432,Eads St & 15th St S,38.8544392,-77.05332419999999
433,Prince St & Union St,39.1148395,-77.5536583
434,Westpark & Park Run Dr,38.8883466,-77.43614140000001
435,Ripley & Bonifant St,38.5448426,-77.0783098
436,48th Pl & MacArthur Blvd NW,38.9437377,-77.095733
437,Key West Ave & Siesta Key Way,39.104527,-77.2028484
438,Troy St & 26th St S,38.8934973,-77.0825701
439,Benning Rd & East Capitol St NE / Benning Rd Metro,38.8968555,-76.9602187
440,Piccard & W Gude Dr,39.1032668,-77.1790907
441,Stanton Square SE,38.8548975,-76.98448719999999
442,Friendship Blvd & Willard Ave,38.9619042,-77.0889267
443,Montgomery Ave & Waverly St ,39.0903605,-77.1787245
444,Wilson Blvd & N Troy St,38.8801082,-77.11156319999999
445,WAU / Flower Ave & Division St,38.9859841,-77.000621
446,Columbia Pike & S Walter Reed Dr,38.8506943,-77.128598
447,18th & Monroe St NE,38.895245,-77.041591
448,Lyttonsville Rd & Lyttonsville Pl,39.0017704,-77.0414359
449,Lee Hwy & N Kirkwood Rd,38.7274416,-77.7851531
450,Rockville Metro West,39.0841002,-77.1467691
451,Anacostia Park,38.8667031,-76.9985604
452,Royal St & Wilkes St,39.1138907,-77.566497
453,Congress Heights Metro,38.8450186,-76.9877334
454,Crabbs Branch Way & Redland Rd,39.1215423,-77.1593584
455,Good Hope & Naylor Rd SE,38.9759786,-77.5289281
456,Reston Pkwy & Spectrum Dr,38.9595548,-77.3545527
457,East West Hwy & Blair Mill Rd,38.9923868,-77.059979
458,King Farm Blvd & Piccard Dr,39.1123865,-77.175525
459,Kenmore St & 24th St S,38.8950829,-77.4906331
460,Nannie Helen Burroughs & Minnesota Ave NE,38.8991062,-76.9331119
461,Division Ave & Foote St NE,38.8975261,-77.2137257
462,Congressional Ln & E Jefferson St,39.0620421,-77.12928649999999
463,Wilson Blvd & N Illinois St ,38.8801082,-77.11156319999999
464,14th St Heights / 14th & Crittenden St NW,38.938678,-77.0327217
465,Georgia Ave & Piney Branch Rd NW,39.1065957,-77.07619509999999
466,12th & Newton St NE,48.835128,2.4350817
467,Columbia Pike & S Oakland St,38.8506943,-77.128598
468,Four Mile Run Dr & S Walter Reed Dr,38.8476366,-77.0958198
469,Blueridge Ave & Elkin St,39.0430393,-77.0509119
